Elapsed Seconds,Layer Architecture,Beta,Learning Rate,Momentum,Error Epsilon,Iterations,Accuracy
0.1455070972442627,"[35, 5, 1]",1,2,0.8,0.001,803,1.0
0.054962873458862305,"[35, 5, 1]",1,2,0.8,0.001,358,1.0
0.10025596618652344,"[35, 5, 1]",1,2,0.8,0.001,655,1.0
0.48702001571655273,"[35, 5, 1]",1,2,0.8,0.001,3263,1.0
0.11353492736816406,"[35, 5, 1]",1,2,0.8,0.001,673,1.0
0.07656979560852051,"[35, 5, 1]",1,2,0.8,0.001,497,1.0
0.0934290885925293,"[35, 5, 1]",1,2,0.8,0.001,584,1.0
0.07035279273986816,"[35, 5, 1]",1,2,0.8,0.001,443,1.0
0.13101506233215332,"[35, 5, 1]",1,2,0.8,0.001,862,1.0
0.10817980766296387,"[35, 5, 1]",1,2,0.8,0.001,680,1.0
0.17502999305725098,"[35, 3, 1]",1,2,0.8,0.001,1151,1.0
0.07098221778869629,"[35, 3, 1]",1,2,0.8,0.001,437,1.0
0.06927299499511719,"[35, 3, 1]",1,2,0.8,0.001,449,1.0
0.1952822208404541,"[35, 3, 1]",1,2,0.8,0.001,1373,1.0
0.09792399406433105,"[35, 3, 1]",1,2,0.8,0.001,580,1.0
0.0701749324798584,"[35, 3, 1]",1,2,0.8,0.001,456,1.0
0.1471261978149414,"[35, 3, 1]",1,2,0.8,0.001,940,1.0
0.23635482788085938,"[35, 3, 1]",1,2,0.8,0.001,1637,1.0
0.06364297866821289,"[35, 3, 1]",1,2,0.8,0.001,420,1.0
0.18656587600708008,"[35, 3, 1]",1,2,0.8,0.001,1253,1.0
0.10877513885498047,"[35, 8, 1]",1,2,0.8,0.001,662,1.0
0.05280303955078125,"[35, 8, 1]",1,2,0.8,0.001,328,1.0
0.0705108642578125,"[35, 8, 1]",1,2,0.8,0.001,451,1.0
0.10417914390563965,"[35, 8, 1]",1,2,0.8,0.001,660,1.0
0.06691789627075195,"[35, 8, 1]",1,2,0.8,0.001,413,1.0
0.16605687141418457,"[35, 8, 1]",1,2,0.8,0.001,1069,1.0
0.0830678939819336,"[35, 8, 1]",1,2,0.8,0.001,533,1.0
0.10400986671447754,"[35, 8, 1]",1,2,0.8,0.001,508,1.0
0.10806989669799805,"[35, 8, 1]",1,2,0.8,0.001,565,1.0
0.37496495246887207,"[35, 8, 1]",1,2,0.8,0.001,452,1.0
0.1582789421081543,"[35, 15, 1]",1,2,0.8,0.001,191,1.0
