Elapsed Seconds,Layer Architecture,Beta,Learning Rate,Momentum,Error Epsilon,Iterations,Training Accuracy,Testing Accuracy
0.17170286178588867,"[35, 15, 10]",1,0.8,0.8,0.02,805,1.0,"{'0.05': 1.0, '0.10': 0.9, '0.15': 0.9, '0.20': 0.9, '0.25': 0.7, '0.30': 0.4, '0.35': 0.4, '0.40': 0.3}"
0.2437758445739746,"[35, 15, 10]",1,0.8,0.8,0.02,1153,1.0,"{'0.05': 1.0, '0.10': 1.0, '0.15': 0.9, '0.20': 0.9, '0.25': 0.6, '0.30': 0.6, '0.35': 0.2, '0.40': 0.3}"
0.433701753616333,"[35, 15, 10]",1,0.8,0.8,0.02,2292,1.0,"{'0.05': 1.0, '0.10': 1.0, '0.15': 1.0, '0.20': 0.8, '0.25': 1.0, '0.30': 0.6, '0.35': 0.4, '0.40': 0.3}"
0.2193920612335205,"[35, 15, 10]",1,0.8,0.8,0.02,1180,1.0,"{'0.05': 1.0, '0.10': 1.0, '0.15': 1.0, '0.20': 0.9, '0.25': 0.9, '0.30': 0.7, '0.35': 0.2, '0.40': 0.3}"
0.2594776153564453,"[35, 15, 10]",1,0.8,0.8,0.02,1408,1.0,"{'0.05': 1.0, '0.10': 1.0, '0.15': 0.9, '0.20': 1.0, '0.25': 0.7, '0.30': 0.5, '0.35': 0.3, '0.40': 0.3}"
0.18707489967346191,"[35, 15, 10]",1,0.8,0.8,0.02,943,1.0,"{'0.05': 1.0, '0.10': 1.0, '0.15': 0.9, '0.20': 0.7, '0.25': 0.8, '0.30': 0.6, '0.35': 0.3, '0.40': 0.2}"
1.5991759300231934,"[35, 15, 10]",1,0.8,0.8,0.02,9326,1.0,"{'0.05': 1.0, '0.10': 1.0, '0.15': 1.0, '0.20': 0.8, '0.25': 0.4, '0.30': 0.7, '0.35': 0.4, '0.40': 0.4}"
0.4615468978881836,"[35, 15, 10]",1,0.8,0.8,0.02,2526,1.0,"{'0.05': 1.0, '0.10': 0.9, '0.15': 1.0, '0.20': 0.7, '0.25': 0.8, '0.30': 0.4, '0.35': 0.4, '0.40': 0.1}"
0.24106311798095703,"[35, 15, 10]",1,0.8,0.8,0.02,812,1.0,"{'0.05': 1.0, '0.10': 0.9, '0.15': 0.8, '0.20': 1.0, '0.25': 0.8, '0.30': 0.4, '0.35': 0.6, '0.40': 0.3}"
0.23303890228271484,"[35, 15, 10]",1,0.8,0.8,0.02,1253,1.0,"{'0.05': 1.0, '0.10': 1.0, '0.15': 1.0, '0.20': 0.7, '0.25': 0.7, '0.30': 0.5, '0.35': 0.6, '0.40': 0.1}"
0.864508867263794,"[35, 5, 10]",1,0.8,0.8,0.02,5322,1.0,"{'0.05': 1.0, '0.10': 0.9, '0.15': 0.8, '0.20': 0.8, '0.25': 0.5, '0.30': 0.5, '0.35': 0.2, '0.40': 0.3}"
8.522462129592896,"[35, 5, 10]",1,0.8,0.8,0.02,50000,0.6,"{'0.05': 0.6, '0.10': 0.5, '0.15': 0.6, '0.20': 0.5, '0.25': 0.4, '0.30': 0.5, '0.35': 0.4, '0.40': 0.3}"
7.580372095108032,"[35, 5, 10]",1,0.8,0.8,0.02,50000,0.9,"{'0.05': 0.9, '0.10': 0.8, '0.15': 0.8, '0.20': 0.6, '0.25': 0.5, '0.30': 0.1, '0.35': 0.3, '0.40': 0.0}"
0.6227917671203613,"[35, 5, 10]",1,0.8,0.8,0.02,4534,1.0,"{'0.05': 0.9, '0.10': 1.0, '0.15': 0.7, '0.20': 0.6, '0.25': 0.3, '0.30': 0.2, '0.35': 0.0, '0.40': 0.1}"
